event_name,num_img
tonga-volcano21,339
Sudan-flooding-8-22-2022,57
NWT-Canada-Aug-23,86
Morocco-Earthquake-Sept-2023,8724
Indonesia-Earthquake22,124
Emilia-Romagna-Italy-flooding-may23,245
kentucky-flooding-7-29-2022,185
Libya-Floods-Sept-2023,186
India-Floods-Oct-2023,51
Hurricane-Fiona-9-19-2022,274
volcano-indonesia21,284
shovi-georgia-landslide-8Aug23,18
New-Zealand-Flooding23,37
yellowstone-flooding22,280
ghana-explosion22,223
Hurricane-Ian-9-26-2022,4207
Kalehe-DRC-Flooding-5-8-23,24
pakistan-flooding22,2549
Kahramanmaras-turkey-earthquake-23,2024
afghanistan-earthquake22,395
Hurricane-Idalia-Florida-Aug23,677
BayofBengal-Cyclone-Mocha-May-23,206
cyclone-emnati22,794
southafrica-flooding22,933
Marshall-Fire-21-Update,15
Gambia-flooding-8-11-2022,80
Maui-Hawaii-fires-Aug-23,123
McDougallCreekWildfire-BC-Canada-Aug-23,31