event_name,num_road,num_build
southafrica-flooding22,7402.0,638516.0
Kalehe-DRC-Flooding-5-8-23,74.0,387228.0
shovi-georgia-landslide-8Aug23,0.0,38022.0
Emilia-Romagna-Italy-flooding-may23,198642.0,2902122.0
NWT-Canada-Aug-23,4009.0,9584.0
Libya-Floods-Sept-2023,19464,0
Gambia-flooding-8-11-2022,33037.0,688269.0
New-Zealand-Flooding23,18574,0
Hurricane-Fiona-9-19-2022,40046,5050203
Hurricane-Idalia-Florida-Aug23,65156,1286139
Hurricane-Ian-9-26-2022,1643650,38347480
yellowstone-flooding22,0.0,0.0
pakistan-flooding22,30.0,104145.0
Morocco-Earthquake-Sept-2023,,
Indonesia-Earthquake22,13056.0,9802815.0
cyclone-emnati22,12521,618174
Kahramanmaras-turkey-earthquake-23,261427,7399503
Marshall-Fire-21-Update,19266,292124
India-Floods-Oct-2023,688.0,432381.0
Maui-Hawaii-fires-Aug-23,0.0,0.0
tonga-volcano21,3724,0.0
BayofBengal-Cyclone-Mocha-May-23,5034.0,893831.0
Sudan-flooding-8-22-2022,,